activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration
Food,Feeding,1543692937691,Sat Dec 01 20:35:37 GMT+01:00 2018,1543694200231,Sat Dec 01 20:56:40 GMT+01:00 2018,1262540,21 min
Moving - social,Transport,1543694200231,Sat Dec 01 20:56:40 GMT+01:00 2018,1543697680231,Sat Dec 01 21:54:40 GMT+01:00 2018,3480000,58 min
Social - girl,Social - Persist,1543697680231,Sat Dec 01 21:54:40 GMT+01:00 2018,1543700121237,Sat Dec 01 22:35:21 GMT+01:00 2018,2441006,40 min
Food,Feeding,1543700121237,Sat Dec 01 22:35:21 GMT+01:00 2018,1543701201237,Sat Dec 01 22:53:21 GMT+01:00 2018,1080000,18 min
moving  - groceries,Shopping,1543701201237,Sat Dec 01 22:53:21 GMT+01:00 2018,1543704201237,Sat Dec 01 23:43:21 GMT+01:00 2018,3000000,50 min
Social - girl,Social - Persist,1543704201237,Sat Dec 01 23:43:21 GMT+01:00 2018,1543706642659,Sun Dec 02 00:24:02 GMT+01:00 2018,2441422,40 min
Series / Docu,Entertainment,1543706642659,Sun Dec 02 00:24:02 GMT+01:00 2018,1543710122659,Sun Dec 02 01:22:02 GMT+01:00 2018,3480000,58 min
WC ,Personal Hygiene,1543710122659,Sun Dec 02 01:22:02 GMT+01:00 2018,1543711142659,Sun Dec 02 01:39:02 GMT+01:00 2018,1020000,17 min
Social - girl,Social - Persist,1543711142659,Sun Dec 02 01:39:02 GMT+01:00 2018,1543712935221,Sun Dec 02 02:08:55 GMT+01:00 2018,1792562,29 min
Series / Docu,Entertainment,1543712935221,Sun Dec 02 02:08:55 GMT+01:00 2018,1543715995221,Sun Dec 02 02:59:55 GMT+01:00 2018,3060000,51 min
Social - girl,Social - Persist,1543715995221,Sun Dec 02 02:59:55 GMT+01:00 2018,1543726316406,Sun Dec 02 05:51:56 GMT+01:00 2018,10321185,2 h 52 min
Social - Close,Social - Persist,1543726316406,Sun Dec 02 05:51:56 GMT+01:00 2018,1543736219203,Sun Dec 02 08:36:59 GMT+01:00 2018,9902797,2 h 45 min
WC ,Personal Hygiene,1543736219203,Sun Dec 02 08:36:59 GMT+01:00 2018,1543738019203,Sun Dec 02 09:06:59 GMT+01:00 2018,1800000,30 min
Sleep,Refresh,1543738019203,Sun Dec 02 09:06:59 GMT+01:00 2018,1543759139203,Sun Dec 02 14:58:59 GMT+01:00 2018,21120000,5 h 52 min
Food,Feeding,1543759139203,Sun Dec 02 14:58:59 GMT+01:00 2018,1543761419203,Sun Dec 02 15:36:59 GMT+01:00 2018,2280000,38 min
Youtube,Entertainment,1543761419203,Sun Dec 02 15:36:59 GMT+01:00 2018,1543763632344,Sun Dec 02 16:13:52 GMT+01:00 2018,2213141,36 min
Youtube,Entertainment,1543763632344,Sun Dec 02 16:13:52 GMT+01:00 2018,1543765612344,Sun Dec 02 16:46:52 GMT+01:00 2018,1980000,33 min
Food,Feeding,1543765612344,Sun Dec 02 16:46:52 GMT+01:00 2018,1543766632344,Sun Dec 02 17:03:52 GMT+01:00 2018,1020000,17 min
Social - girl,Social - Persist,1543766632344,Sun Dec 02 17:03:52 GMT+01:00 2018,1543768372344,Sun Dec 02 17:32:52 GMT+01:00 2018,1740000,29 min
University - Task ,Learning,1543768372344,Sun Dec 02 17:32:52 GMT+01:00 2018,1543773603948,Sun Dec 02 19:00:03 GMT+01:00 2018,5231604,1 h 27 min
Walking ,Sport,1543773603948,Sun Dec 02 19:00:03 GMT+01:00 2018,1543774323948,Sun Dec 02 19:12:03 GMT+01:00 2018,720000,12 min
